k,assignments_select,comparisons_select,operations_select,assignments_bubble,comparisons_bubble,operations_bubble,assignments_binInsertion,comparisons_binInsertion,operations_binInsertion
5200,15597,13517400,13532997,121107,13145447,13266554,6772460,163095,6935555
5300,15897,14042350,14058247,107070,11798329,11905399,7132598,166693,7299291
5400,16197,14577300,14593497,113109,10708929,10822038,7310267,170171,7480438
5500,16497,15122250,15138747,111336,9926774,10038110,7564314,173841,7738155
5600,16797,15677200,15693997,105570,11941189,12046759,7756423,177376,7933799
5700,17097,16242150,16259247,111375,12165210,12276585,8088919,181199,8270118
5800,17397,16817100,16834497,128025,14203059,14331084,8464651,184773,8649424
5900,17697,17402050,17419747,128154,15316147,15444301,8788707,188491,8977198
6000,17997,17997000,18014997,124914,13453395,13578309,8997989,192155,9190144
6100,18297,18601950,18620247,136680,18595845,18732525,9191758,195912,9387670
6200,18597,19216900,19235497,130035,12706264,12836299,9381372,199636,9581008
6300,18897,19841850,19860747,149334,19799364,19948698,9917360,203408,10120768
6400,19197,20476800,20495997,130260,15695022,15825282,10262160,206817,10468977
6500,19497,21121750,21141247,128733,18072535,18201268,10496507,210664,10707171
6600,19797,21776700,21796497,134562,14870514,15005076,10665494,214268,10879762
6700,20097,22441650,22461747,148026,16502469,16650495,11107713,217941,11325654
6800,20397,23116600,23136997,154803,18288322,18443125,11510370,221728,11732098
6900,20697,23801550,23822247,162645,22604172,22766817,11906340,225401,12131741
7000,20997,24496500,24517497,156450,21154095,21310545,12352085,229197,12581282
7100,21297,25201450,25222747,134502,10521379,10655881,12797231,232798,13030029
7200,21597,25916400,25937997,189672,25906809,26096481,12996389,236507,13232896
7300,21897,26641350,26663247,154131,14974485,15128616,13457783,240300,13698083
7400,22197,27376300,27398497,193383,27148825,27342208,13592098,243841,13835939
7500,22497,28121250,28143747,179313,27632684,27811997,14182461,247748,14430209
7600,22797,28876200,28898997,195834,28596074,28791908,14499534,251349,14750883
7700,23097,29641150,29664247,168168,26685054,26853222,14979812,255004,15234816
7800,23397,30416100,30439497,197763,29497410,29695173,15209781,258800,15468581
7900,23697,31201050,31224747,181329,20609547,20790876,15406188,262443,15668631
8000,23997,31996000,32019997,196608,31957774,32154382,15986181,266221,16252402
8100,24297,32800950,32825247,185004,25240734,25425738,16534971,269855,16804826
8200,24597,33615900,33640497,163632,20444622,20608254,16784265,273423,17057688
8300,24897,34440850,34465747,198903,31870072,32068975,17097754,277312,17375066
8400,25197,35275800,35300997,202101,33831650,34033751,17861270,280883,18142153
8500,25497,36120750,36146247,191604,31546950,31738554,18237605,284754,18522359
8600,25797,36975700,37001497,192777,34217974,34410751,18414526,288523,18703049
8700,26097,37840650,37866747,206778,29802605,30009383,19094274,292058,19386332
8800,26397,38715600,38741997,248364,38674272,38922636,19395975,295989,19691964
8900,26697,39600550,39627247,192537,32171965,32364502,19841293,299758,20141051
